ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc
35255,2B,8,MARTY ACTON,,18,USA,"Brooklyn, NY","6' 0""",170 lbs,Switch,Right,Pelham Manor,Carolina Poly,Average,HS Senior,1,FB,80-83 Mph,Over the Top,Normal,21,21,109,99,45,14,1,0,29,31,5,5,15,0.455,0.467,0.616,29.8,13,0.162,0.454,1.083,0.464,0,1.3,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Hard,Average
35226,RF,6,WHITEY ACTON,,20,USA,"New York, NY","5' 9""",160 lbs,Left,Left,North Carolina Tech,-,Great,CO Junior,1,FB,80-83 Mph,Normal (3/4),Normal,61,61,306,284,89,13,7,6,62,77,19,4,26,0.313,0.356,0.472,51.4,6.7,0.158,0.359,0.828,0.301,0,0,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average
34186,SP,11,DAN ADAMS,BUCKY,21,USA,"Indianapolis, IN","5' 11""",170 lbs,Right,Right,Central Kentucky,-,Great,CO Junior,3,NEU,85-87 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8,5,0,0,0,130.1,133,6,55,53,48,89,3.66,0.308,1.39,12.6,0.4,9.2,3.3,6.1,1.9,0,0,0,0,3.58,0,2.5,2.7,Slot,Normal,Average
34210,RF,75,JOE AKERS,,18,USA,"Philadelphia, PA","6' 0""",165 lbs,Right,Right,Southwestern,Amarillo Methodist,Average,HS Senior,1,FB,80-83 Mph,Normal (3/4),Normal,26,26,132,115,48,12,3,3,27,41,11,6,18,0.417,0.473,0.652,37.4,13.8,0.235,0.468,1.125,0.421,0,1.7,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
34120,RF,2,BEN ALLEN,,18,USA,"Memphis, TN","6' 3""",185 lbs,Left,Left,Helena,Oklahoma Bible College,Average,HS Senior,1,NEU,80-83 Mph,Normal (3/4),Normal,21,21,109,90,40,13,2,3,28,35,14,6,18,0.444,0.528,0.733,37.5,19.1,0.289,0.525,1.261,0.451,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$950 ,Extremely Hard,Average
33642,SP,21,JACK ALLEN,,18,USA,"Rapid City, SD","5' 11""",150 lbs,Left,Right,Holden,Utah A&M,Average,HS Senior,4,NEU,83-85 Mph,Over the Top,Normal,8,8,44,39,14,6,0,0,9,10,2,6,6,0.359,0.395,0.513,7.8,6.8,0.154,0.382,0.908,0.412,0,0.3,0,9,4,13,13,6,4,0,0,0,108.2,110,4,40,37,31,73,3.06,0.286,1.3,11.7,0.3,9.1,2.6,6,2.4,0,0,0,0,3.19,0,2.7,2.9,Impossible,Impossible,Average
34173,3B,22,DENNY ANDREWS,,20,USA,"Philadelphia, PA","5' 7""",165 lbs,Switch,Right,Maryland State,-,Great,CO Junior,1,FB,80-83 Mph,Over the Top,Normal,50,50,252,203,59,11,1,10,42,57,43,12,22,0.291,0.421,0.502,48.5,8.9,0.212,0.405,0.923,0.268,0,1.5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$9k,Normal,Average
35262,C,10,BOB ARTESAN,,18,USA,"Salt Lake City, UT","5' 7""",155 lbs,Left,Right,Midvale,Utah A&M,Average,HS Senior,1,NEU,80-83 Mph,Normal (3/4),Normal,26,26,130,107,47,17,1,1,31,43,20,5,19,0.439,0.528,0.645,38.8,15.9,0.206,0.494,1.172,0.455,0,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$950 ,Extremely Hard,Average
35271,SS,2,FRANK BABCOCK,,18,USA,"New York, NY","5' 11""",145 lbs,Right,Right,Edison,Lane State,Average,HS Senior,1,FB,80-83 Mph,Normal (3/4),Normal,25,25,125,109,45,13,1,1,24,37,15,7,15,0.413,0.488,0.578,33.7,13.4,0.165,0.465,1.066,0.436,0,1.6,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average
34141,SS,38,DICK BAILEY,,18,USA,"Philadelphia, PA","6' 0""",155 lbs,Switch,Right,York,Fremont State,Average,HS Senior,1,FB,80-83 Mph,Normal (3/4),Normal,21,21,105,89,36,16,2,1,21,26,12,7,19,0.404,0.467,0.663,29.7,14.1,0.258,0.472,1.13,0.417,0,1.4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$1k,Extremely Hard,Average
