ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc
35255,2B,8,MARTY ACTON,,18,USA,"Brooklyn, NY","6' 0""",170 lbs,Switch,Right,Pelham Manor,Carolina Poly,Average,HS Senior,1,FB,80-83 Mph,Over the Top,Normal,65,65,336,303,147,43,5,3,87,120,20,12,51,0.485,0.506,0.69,109.5,16.7,0.205,0.499,1.196,0.488,0,5.4,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Hard,Average
35226,RF,6,WHITEY ACTON,,20,USA,"New York, NY","5' 9""",160 lbs,Left,Left,North Carolina Tech,-,Great,CO Junior,1,FB,80-83 Mph,Normal (3/4),Normal,165,165,828,769,235,36,17,19,168,207,51,10,72,0.306,0.349,0.471,136.1,6.5,0.165,0.355,0.82,0.29,0,2.8,0,99,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average
34186,SP,11,DAN ADAMS,BUCKY,21,USA,"Indianapolis, IN","5' 11""",170 lbs,Right,Right,Central Kentucky,-,Great,CO Junior,3,NEU,85-87 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,15,10,0,0,0,241.2,251,11,103,98,82,161,3.65,0.311,1.38,12.5,0.4,9.3,3.1,6,2,0,0,0,0,3.51,0,4.9,4.9,Slot,Normal,Average
34210,RF,75,JOE AKERS,,18,USA,"Philadelphia, PA","6' 0""",165 lbs,Right,Right,Southwestern,Amarillo Methodist,Average,HS Senior,1,FB,80-83 Mph,Normal (3/4),Normal,47,47,241,205,86,27,5,7,54,72,22,9,39,0.42,0.477,0.702,72.7,14.8,0.283,0.482,1.179,0.409,0,3.5,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
34120,RF,2,BEN ALLEN,,18,USA,"Memphis, TN","6' 3""",185 lbs,Left,Left,Helena,Oklahoma Bible College,Average,HS Senior,1,NEU,80-83 Mph,Normal (3/4),Normal,43,43,222,184,82,23,2,5,57,71,29,11,30,0.446,0.529,0.674,72,17.8,0.228,0.512,1.203,0.453,0,3.8,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$950 ,Extremely Hard,Average
33642,SP,21,JACK ALLEN,,18,USA,"Rapid City, SD","5' 11""",150 lbs,Left,Right,Holden,Utah A&M,Average,HS Senior,4,NEU,83-85 Mph,Over the Top,Normal,8,8,44,39,14,6,0,0,9,10,2,6,6,0.359,0.395,0.513,7.8,6.8,0.154,0.382,0.908,0.412,0,0.3,0,9,4,13,13,6,4,0,0,0,108.2,110,4,40,37,31,73,3.06,0.286,1.3,11.7,0.3,9.1,2.6,6,2.4,0,0,0,0,3.19,0,2.7,2.9,Impossible,Impossible,Average
34173,3B,22,DENNY ANDREWS,,20,USA,"Philadelphia, PA","5' 7""",165 lbs,Switch,Right,Maryland State,-,Great,CO Junior,1,FB,80-83 Mph,Over the Top,Normal,93,93,471,379,113,20,2,18,75,108,81,22,40,0.298,0.429,0.504,92.6,9.2,0.206,0.41,0.933,0.278,0,3.8,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$9k,Normal,Average
35262,C,10,BOB ARTESAN,,18,USA,"Salt Lake City, UT","5' 7""",155 lbs,Left,Right,Midvale,Utah A&M,Average,HS Senior,1,NEU,80-83 Mph,Normal (3/4),Normal,69,69,348,287,127,41,4,6,83,111,53,16,51,0.443,0.523,0.676,108.7,16.4,0.233,0.504,1.199,0.45,0,5.7,0,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$950 ,Extremely Hard,Average
35271,SS,2,FRANK BABCOCK,,18,USA,"New York, NY","5' 11""",145 lbs,Right,Right,Edison,Lane State,Average,HS Senior,1,FB,80-83 Mph,Normal (3/4),Normal,76,76,387,323,133,34,5,5,80,115,53,23,44,0.412,0.492,0.594,106.6,13.8,0.183,0.466,1.087,0.427,0,5,0,38,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Normal,Average
34141,SS,38,DICK BAILEY,,18,USA,"Philadelphia, PA","6' 0""",155 lbs,Switch,Right,York,Fremont State,Average,HS Senior,1,FB,80-83 Mph,Normal (3/4),Normal,45,45,226,187,77,30,3,2,44,60,30,12,35,0.412,0.489,0.636,62.7,14.2,0.225,0.472,1.125,0.424,0,3.1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$1k,Extremely Hard,Average
