ID,POS,#,Name,Nickname,Age,NAT,COB,HT,WT,B,T,Schl,CommSch,COMP,HSC,PIT,G/F,VELO,Slot,PT,G,GS,PA,AB,H,2B,3B,HR,RBI,R,BB,SO,EBH,AVG,OBP,SLG,RC,RC/27,ISO,wOBA,OPS,BABIP,WPA,WAR,PI/PA,SB,CS,G,GS,W,L,SV,BS,HLD,IP,HA,HR,R,ER,BB,K,ERA,BABIP,WHIP,RA/9,HR/9,H/9,BB/9,K/9,K/BB,QS,CG,SHO,GO%,FIP,WPA,WAR,rWAR,DEM,Sign,SctAcc
34041,C,5,ADAM ABRAHAM,,17,USA,"Rutherfordton, NC","5' 10""",170 lbs,Right,Right,Rutherfordton,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,25,25,126,107,44,11,2,1,27,36,15,4,14,0.411,0.484,0.579,32.6,12.8,0.168,0.46,1.064,0.413,0,1.6,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
38144,SP,19,MONK ADAMS,,17,USA,"Albany, NY","6' 2""",170 lbs,Right,Right,Schenectady,-,Average,HS Junior,3,GB,87-89 Mph,Normal (3/4),Groundballer,5,5,28,26,9,7,0,0,10,7,0,3,7,0.346,0.37,0.615,4.7,5.8,0.269,0.401,0.986,0.391,0,0.2,0,10,4,14,6,4,0,2,0,0,57,37,1,9,8,15,79,1.26,0.263,0.91,8.2,0.2,5.8,2.4,12.5,5.3,0,0,0,0,1.45,0,2.7,2.9,Slot,Extremely Hard,Low
34013,SP,19,CHARLIE AGANI,,17,USA,"Dickson, TN","5' 7""",130 lbs,Right,Right,Bowling Green,-,Average,HS Junior,3,NEU,84-86 Mph,Normal (3/4),Normal,24,24,121,115,43,7,2,3,25,37,2,7,12,0.374,0.381,0.548,24,8.1,0.174,0.388,0.929,0.377,0,0.8,0,10,4,18,10,4,2,0,0,0,75.2,63,3,23,21,29,83,2.5,0.275,1.22,11.2,0.4,7.5,3.4,9.9,2.9,0,0,0,0,2.75,0,2.2,2.4,Slot,Extremely Hard,Average
33629,3B,3,JAKE ALLEN,,17,USA,"Winston-Salem, NC","6' 0""",175 lbs,Right,Right,Cramerton,-,Average,HS Junior,1,FB,80-83 Mph,Over the Top,Normal,24,24,121,99,45,10,2,3,31,39,16,6,15,0.455,0.529,0.687,39.1,17.3,0.232,0.507,1.216,0.457,0,2,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
34226,SP,1,TOM ALLISON,,17,USA,"Cherryville, NC","5' 10""",145 lbs,Right,Right,Spartanburg,-,Average,HS Junior,3,NEU,84-86 Mph,Normal (3/4),Normal,27,27,135,127,45,10,0,1,30,32,2,12,11,0.354,0.364,0.457,21.7,6.5,0.102,0.349,0.82,0.379,0,0.4,0,7,3,14,14,7,4,0,0,0,109.1,103,4,45,42,57,76,3.46,0.27,1.46,13.3,0.3,8.5,4.7,6.3,1.3,0,0,0,0,3.88,0,1.7,2.4,Slot,Extremely Hard,Low
34496,CF,2,FELIX ANDERSON,,17,USA,"Dayton, OH","5' 10""",160 lbs,Right,Right,Bucyrus,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,22,22,112,95,39,13,5,2,22,33,7,7,20,0.411,0.477,0.716,36.6,15.7,0.305,0.493,1.193,0.42,0,1.7,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Hard,Average
34610,3B,1,MERL ANDERSON,,17,USA,"Alhambra, CA","6' 2""",170 lbs,Right,Right,Pomona,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,26,26,132,107,49,12,0,4,29,48,18,6,16,0.458,0.535,0.682,42.7,18,0.224,0.506,1.217,0.455,0,2.2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
34561,SP,14,FRED ARMES,,17,USA,"Lansing, MI","6' 0""",145 lbs,Left,Left,Avilla,-,Average,HS Junior,3,NEU,85-87 Mph,Normal (3/4),Normal,26,26,132,126,46,14,2,0,27,41,2,9,16,0.365,0.371,0.508,24,7.5,0.143,0.376,0.879,0.383,0,0.7,0,8,4,14,14,6,4,0,0,0,103.1,90,3,39,36,58,103,3.14,0.277,1.43,12.9,0.3,7.8,5.1,9,1.8,0,0,0,0,3.27,0,2.5,2.7,Slot,Extremely Hard,Low
34023,1B,1,FRED ARMOR,,17,USA,"Wilmington, IL","5' 11""",180 lbs,Right,Left,Wilmington,-,Average,HS Junior,1,FB,80-83 Mph,Normal (3/4),Normal,26,26,132,103,43,16,2,4,27,38,19,8,22,0.417,0.515,0.728,42.5,16.6,0.311,0.508,1.244,0.415,0,2.2,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
33816,2B,2,IRA ARMSTRONG,,17,USA,"Boonton, NJ","5' 11""",155 lbs,Switch,Right,Boonton,-,Average,HS Junior,3,GB,84-86 Mph,Sidearm,Groundballer,21,21,109,89,39,12,1,3,23,30,16,7,16,0.438,0.519,0.697,34.7,16.4,0.258,0.507,1.215,0.444,0,1.8,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Slot,Extremely Hard,Average
