ID,Position,Number,Name,Nickname,Inf,Age,City of Birth,Height,Weight,Bats,Throws,School,Commit,Competition,Level,Pitches,Tendency,Velocity,Slot,Pitch Type,G,GS(Bat),PA,AB,H,2B,3B,HR,RBI,R,Walks,SO,AVG,OBP,SLG,RC,RC27,ISO,wOBA,OPS,OPS+,BABIP,WPA,wRC,wRC+,wRAA,WAR,SB,CS,BsR,GP,GS,W,L,SV,BS,HLD,IP,HRA,RA,ER,BB,K,ERA,BABIP (Opponent),WHIP,RA9,HR9,H9,BB9,K9,KBB,QS,CG,GO%,ERA+,FIP,FIPCO Junior,pWAR,rWAR,Accuracy
38144,SP,19,MONK ADAMS,,,16,"Albany, NY","6' 1""",160 lbs,R,R,Schenectady,CO Junior,Average,HS Freshman,3,GB,83CO Junior85 Mph,Normal (3/4),Groundballer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Very Low
34561,SP,14,FRED ARMES,,,16,"Lansing, MI","6' 0""",145 lbs,L,L,Avilla,CO Junior,Average,HS Freshman,3,NEU,86CO Junior88 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Average
34573,SP,23,CLIFF ATKINSON,,,16,"Clarksburg, WV","5' 11""",150 lbs,R,R,Beaver,CO Junior,Average,HS Freshman,3,FB,87CO Junior89 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,High
36394,SP,15,RAY BELL,BOX CAR,,16,"Slayton, MN","6' 0""",150 lbs,R,R,Slayton,CO Junior,Average,HS Freshman,3,NEU,85CO Junior87 Mph,Sidearm,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Low
34582,SP,1,BUTCH CAMPBELL,,,16,"Boston, MA","6' 0""",145 lbs,R,R,Hartford,CO Junior,Average,HS Freshman,3,NEU,86CO Junior88 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Average
34531,SP,12,JOE CAMPBELL,,,16,"Mayfield, KY","6' 2""",160 lbs,L,R,Marion,CO Junior,Average,HS Freshman,3,NEU,83CO Junior85 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Average
34583,SP,21,AL CASH,,,16,"West Reading, PA","6' 3""",165 lbs,S,R,Totowa,CO Junior,Average,HS Freshman,3,NEU,88CO Junior90 Mph,Over the Top,Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Average
34591,SP,25,GORDON CHEEK,,,16,"New York, NY","6' 0""",155 lbs,R,R,Westinghouse,CO Junior,Average,HS Freshman,4,NEU,85CO Junior87 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Average
34552,SP,24,LEE CLEM,,,16,"Abilene, TX","6' 2""",165 lbs,R,R,Coleman,CO Junior,Average,HS Freshman,3,NEU,85CO Junior87 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Average
34498,SP,2,CHRIS CLETO,,,16,"Big Spring, TX","5' 9""",140 lbs,L,L,Sweetwater,CO Junior,Average,HS Freshman,3,NEU,87CO Junior89 Mph,Normal (3/4),Normal,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,Average
